ID,campus,program,Tværfagligt problemdesign,Systemtænkning i ingeniørvidenskab,Etisk teknologivurdering,Psykologisk tryghed i teams,Samarbejde på tværs af fagligheder,Facilitering af produktive møder,Digitale praksisser i projektarbejdet,SCRUM-teknikker i projektarbejdet,Generativ AI i studiepraksis,"Motivation, trivsel og work-life balance",Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Clarification of individual professional competences,Ethical technology assessment​,Psychological safety in team work,Professional communication with external partners,Leadership and project management,Digital and hybrid practices in collaborative work,Professional identity development,Interdisciplinary problem design,Systems thinking in engineering,Collaboration across discplines,Facilitation of productive meeting,SCRUM-techniques in project work​,Generative AI in study practices​,"Motivation, well-being and work-life balance​",Creativity and entrepeneurship,Psychological safety in teamwork,Digital practices in project work,separator,Tværfagligt problemdesign2,Systemtænkning i ingeniørvidenskab3,Etisk teknologivurdering4,Psykologisk tryghed i teams5,Samarbejde på tværs af fagligheder6,Facilitering af produktive møder7,Digitale praksisser i projektarbejdet8,SCRUM-teknikker i projektarbejdet9,Generativ AI i studiepraksis10,"Motivation, trivsel og work-life balance11",Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day)12,Clarification of individual professional competences13,Ethical technology assessment​14,Psychological safety in team work15,Professional communication with external partners16,Leadership and project management17,Digital and hybrid practices in collaborative work18,Professional identity development19,Interdisciplinary problem design20,Systems thinking in engineering21,Collaboration across discplines22,Facilitation of productive meeting23,SCRUM-techniques in project work​24,Generative AI in study practices​25,"Motivation, well-being and work-life balance​26",Creativity and entrepeneurship27,Psychological safety in teamwork28,Digital practices in project work29
2,AAL,master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,AAL,master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,AAL,bachelor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,AAL,bachelor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,AAL,bachelor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,AAL,bachelor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,AAL,bachelor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,AAL,bachelor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,AAL,bachelor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,AAL,master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,AAL,bachelor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,ESB,master,,,,,,,,,,,,,,2,,1,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
