ID,registration_started,registration_finished,campus,program,"Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most4","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most5","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most6","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most7","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most8","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most9","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most10","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most11","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most12","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most13",Tværfagligt problemdesign,Systemtænkning i ingeniørvidenskab,Etisk teknologivurdering,Psykologisk tryghed i teams,Samarbejde på tværs af fagligheder,Facilitering af produktive møder,Digitale praksisser i projektarbejdet,SCRUM-teknikker i projektarbejdet,Generativ AI i studiepraksis,"Motivation, trivsel og work-life balance",Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Clarification of individual professional competences,Ethical technology assessment,Psychological safety in team work,Professional communication with external partners,Leadership and project management,Digital and hybrid practices in collaborative work,Professional identity development,Interdisciplinary problem design,Systems thinking in engineering,Collaboration across discplines,Facilitation of productive meeting,SCRUM-techniques in project work?,Generative AI in study practices?,"Motivation, well-being and work-life balance?",Creativity and entrepeneurship,Psychological safety in teamwork,Digital practices in project work,SUMA,Tværfagligt problemdesign.1,Systemtænkning i ingeniørvidenskab.1,Etisk teknologivurdering.1,Psykologisk tryghed i teams.1,Samarbejde på tværs af fagligheder.1,Facilitering af produktive møder.1,Digitale praksisser i projektarbejdet.1,SCRUM-teknikker i projektarbejdet.1,Generativ AI i studiepraksis.1,"Motivation, trivsel og work-life balance.1",Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day).1,Clarification of individual professional competences.1,Ethical technology assessment?,Psychological safety in team work.1,Professional communication with external partners.1,Leadership and project management.1,Digital and hybrid practices in collaborative work.1,Professional identity development.1,Interdisciplinary problem design.1,Systems thinking in engineering.1,Collaboration across discplines.1,Facilitation of productive meeting.1,SCRUM-techniques in project work?.1,Generative AI in study practices?.1,"Motivation, well-being and work-life balance?.1",Creativity and entrepeneurship.1,Psychological safety in teamwork.1,Digital practices in project work.1
1,2025-02-10 09:40:36.339447859,2025-02-10 10:02:47.665778726,CPH,master,Professional identity development,Creativity and entrepeneurship,Digital and hybrid practices in collaborative work,Psychological safety in team work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Clarification of individual professional competences,Professional communication with external partners,Ethical technology assessment,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2025-02-13 09:17:37.050077461,2025-02-13 09:21:25.858606874,CPH,master,Ethical technology assessment,Psychological safety in team work,Clarification of individual professional competences,Professional communication with external partners,Creativity and entrepeneurship,Digital and hybrid practices in collaborative work,Leadership and project management,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),,,,,,,,,,,,,,3,1,2,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2025-02-11 15:51:13.138838052,2025-02-11 16:02:45.684837215,ESB,master,Creativity and entrepeneurship,Clarification of individual professional competences,Professional communication with external partners,Leadership and project management,Digital and hybrid practices in collaborative work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional identity development,Ethical technology assessment,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2025-02-10 16:39:14.984880269,2025-02-10 16:41:18.377765705,AAL,bachelor,Tværfagligt problemdesign,Interdisciplinary problem design,Samarbejde på tværs af fagligheder,Generativ AI i studiepraksis,Facilitering af produktive møder,Collaboration across discplines,Etisk teknologivurdering,Generative AI in study practices?,SCRUM-techniques in project work?,"Motivation, well-being and work-life balance?",1,,,,3,,,,,,,,,,,,,,2,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2025-02-12 13:43:26.936944748,2025-02-12 13:49:36.522393336,CPH,master,Professional identity development,Psychological safety in team work,Ethical technology assessment,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional communication with external partners,Clarification of individual professional competences,Digital and hybrid practices in collaborative work,Leadership and project management,,,,,,,,,,,,,,,3,2,,,,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2025-02-05 12:05:51.167803970,2025-02-05 12:07:31.623476451,ESB,bachelor,Digitale praksisser i projektarbejdet,Generative AI in study practices?,Systems thinking in engineering,Psykologisk tryghed i teams,Etisk teknologivurdering,Generativ AI i studiepraksis,Facilitering af produktive møder,Ethical technology assessment?,SCRUM-techniques in project work?,Samarbejde på tværs af fagligheder,,,,,,,1,,,,,,,,,,,,,3,,,,2,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2025-02-10 12:57:02.852872533,2025-02-10 12:58:16.935559780,ESB,bachelor,Facilitering af produktive møder,Generativ AI i studiepraksis,Interdisciplinary problem design,Systemtænkning i ingeniørvidenskab,Etisk teknologivurdering,Ethical technology assessment?,SCRUM-teknikker i projektarbejdet,Digitale praksisser i projektarbejdet,Etisk teknologivurdering,Generativ AI i studiepraksis,,,,,,1,,,2,,,,,,,,,,3,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2025-02-08 16:57:48.443717803,2025-02-08 16:58:07.649484153,ESB,master,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Leadership and project management,Clarification of individual professional competences,Digital and hybrid practices in collaborative work,Creativity and entrepeneurship,Professional communication with external partners,Professional identity development,Psychological safety in team work,,,,,,,,,,,,,1,3,,,,2,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2025-02-11 14:10:49.505220080,2025-02-11 15:17:48.846105170,AAL,bachelor,Systems thinking in engineering,Generative AI in study practices?,Systemtænkning i ingeniørvidenskab,Interdisciplinary problem design,Tværfagligt problemdesign,Digitale praksisser i projektarbejdet,"Motivation, trivsel og work-life balance",SCRUM-techniques in project work?,Psychological safety in teamwork,Generativ AI i studiepraksis,,3,,,,,,,,,,,,,,,,,,1,,,,2,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2025-02-13 11:23:48.265044712,2025-02-13 11:28:09.313705185,CPH,master,Creativity and entrepeneurship,Psychological safety in team work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional communication with external partners,Digital and hybrid practices in collaborative work,Ethical technology assessment,Professional identity development,Clarification of individual professional competences,,,,,,,,,,,,,3,,,2,,,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
